転帰,キー,n_あり,n_なし,Δあり,Δなし,Δあり中央値,Δなし中央値,U,p_raw,効果量r,CLES,必要n_1対1,Spearman_rho,p_rho,BLあり,BLなし,p_BL差,BL調整_群間差,p_BL調整,n_余地あり,p_余地限定,Δあり_余地,Δなし_余地,p_年換算,n年換算,族,p_raw_FDR,備考
MMSE 復唱,ΔMMSE_復唱,6,10,"0［0, 1］（0, 0, 0, 0, 0, 1）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 0, 1）",0,0,32,0.87488,0.066667,0.53333,2355,0.09759,0.71918,"1［0, 1］（0, 1, 1, 1, 1, 1）","1［0, 1］（0, 0, 1, 1, 1, 1, 1, 1, 1, 1）",0.95779,0.088889,0.75,5/8,,,,0.94328,5/8,MMSE下位項目,0.87488,
MMSE 読字理解,ΔMMSE_読字理解,6,10,"0［0, 0］（0, 0, 0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"1［1, 1］（1, 1, 1, 1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",,,,6/10,,,,,,MMSE下位項目,,全例同値
MMSE 3段階命令,ΔMMSE_3段階命令,6,10,"0［0, 0］（0, 0, 0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"3［3, 3］（3, 3, 3, 3, 3, 3）","3［2, 3］（2, 3, 3, 3, 3, 3, 3, 3, 3, 3）",0.79246,,,6/10,,,,,,MMSE下位項目,,全例同値
MMSE 書字,ΔMMSE_書字,6,10,"0［0, 0］（0, 0, 0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"1［1, 1］（1, 1, 1, 1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",,,,6/10,,,,,,MMSE下位項目,,全例同値
MMSE 図形模写,ΔMMSE_図形模写,6,10,"0［0, 1］（0, 0, 0, 0, 0, 1）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,35,0.63536,0.16667,0.58333,377,0.33333,0.20708,"1［0, 1］（0, 1, 1, 1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",0.63536,-1.1102e-16,1,5/10,,,,,,MMSE下位項目,0.83159,
CDR 記憶,ΔCDR_記憶,6,10,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0,0,23,0.49226,-0.23333,0.38333,193,-0.24371,0.36304,"0.5［0.5, 1］（0.5, 0.5, 0.5, 0.5, 1, 1）","0.5［0.5, 0.5］（0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",0.31319,-0.057143,0.63287,6/10,0.49226,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.35431,5/8,CDR下位領域,0.73839,
CDR 見当識,ΔCDR_見当識,6,10,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0.25［0, 0.5］（0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0.5）",0,0.25,20,0.31319,-0.33333,0.33333,95,-0.33333,0.20708,"0.5［0, 0.5］（0, 0.5, 0.5, 0.5, 0.5, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.18057,-0.035979,0.76274,6/10,0.31319,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0.25［0, 0.5］（0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0.5）",0.5237,5/8,CDR下位領域,0.73839,
CDR 判断力・問題解決,ΔCDR_判断力・問題解決,6,10,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5）",0,0,32,0.87488,0.066667,0.53333,2355,0.09759,0.71918,"0.5［0, 1］（0, 0.5, 0.5, 0.5, 1, 1）","0.5［0, 0.5］（0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",0.49226,0.033333,1,6/10,0.87488,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5）",0.83294,5/8,CDR下位領域,0.87488,
CDR 地域社会の活動,ΔCDR_地域社会の活動,6,10,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0,0,23,0.49226,-0.23333,0.38333,193,-0.24371,0.36304,"0.5［0, 1］（0, 0, 0.5, 0.5, 0.5, 1）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.31319,-0.12351,0.35102,6/10,0.49226,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.17094,5/8,CDR下位領域,0.73839,
CDR 家庭・趣味,ΔCDR_家庭・趣味,6,10,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0［0, 1］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 1）",0,0,22.5,0.49226,-0.25,0.375,168,-0.2582,0.33428,"0.25［0, 0.5］（0, 0, 0, 0.5, 0.5, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5）",0.56219,-0.10667,0.53609,6/10,0.49226,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0［0, 1］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 1）",0.35431,5/8,CDR下位領域,0.73839,
CDR 身の回りの世話,ΔCDR_身の回りの世話,6,10,"0［0, 0］（0, 0, 0, 0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 0, 1）",0,0,27,0.79246,-0.1,0.45,1047,-0.2,0.45769,"0［0, 0］（0, 0, 0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",,-0.1,1,6/10,0.79246,"0［0, 0］（0, 0, 0, 0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 0, 1）",0.83294,5/8,CDR下位領域,0.87488,
